**********TEST ON************************Sun Also Rises**************('[0.9999246]', 'book i ? 1 ? ? was once ? ? ? of ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? sick too ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we came out of the ? into the light and crossed the seine and then turned up the ? des saints ? ? ?')
('[1.7821789e-05]', '“you ? to drink ? if ? sick ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “you neither ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “it ? make any difference with me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it ? make any difference with a woman ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “what are you called ” ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[9.5397234e-05]', 'how are you called ” ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? a ? name ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? too ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? not ? ” “no american ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “good i detest ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” by this time we were at the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i called to the ? to stop ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we got out and ? did not like the looks of the place ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8447638e-05]', '“this is no great thing of a ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “no ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.1576881e-05]', '“maybe you would rather go to ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99957013]', 'and go on ” i had picked her up because of a vague sentimental idea that it would be nice to eat with some one')
('[2.5957823e-05]', 'it was a long time since i had dined with a ? and i had forgotten how dull it could be ? ? ? ?')
('[0.00048298]', 'we went into the ? passed ? ? at the desk and into a little room ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? cheered up a little under the food ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“it ? bad here ” she said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“it ? ? but the food is all right ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? than you eat in ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? you mean ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we had another bottle of wine and ? made a ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she smiled and showed all her bad teeth and we touched glasses ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? not a bad type ” she said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? a shame ? sick ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we get on well ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? the matter with you anyway ” “i got hurt in the war ” i said ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '“oh that dirty war ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00322008]', 'have gone on and discussed the war and agreed that it was in reality a ? for civilization and perhaps would have been better avoided')
('[0.9542121]', 'i was bored enough ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.46661493]', 'from the other room some one called ? i say ? ? ? ” ? a friend calling me ” i explained and went out')
('[0.0001685]', 'there was ? at a big table with a party ? ? ? mrs ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? several people i did not know ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? coming to the dance ? you ” ? asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“what dance ” “why the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? you know ? revived them ” mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? put in ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you must come ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? all going ” ? said from the end of the table ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she was tall and had a smile ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8239021e-05]', '“of course ? coming ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7881393e-05]', '“come in and have coffee with us ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “right ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “and bring your friend ” said mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? laughing ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she was a ? and had all their easy social graces ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? be in ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i went back to the small room ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.6597252e-05]', '“who are your friends ” ? asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? and artists ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “there are lots of those on this side of the river ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? many ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i think so ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.999261]', 'still some of them make money ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “oh yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we finished the ? and the wine ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7881393e-05]', '“come on ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? going to have coffee with the others ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[8.273125e-05]', 'made a few ? at her face as she looked in the little mirror re defined her lips with the ? and straightened her hat')
('[1.8119812e-05]', '“good ” she said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we went into the room full of people and ? and the men at his table stood up ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i wish to present my ? ? ? ? ” i said ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? smiled that wonderful smile and we shook hands all round ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“are you ? to ? ? the singer ” mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ” ? answered ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“but you have the same name ” mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? insisted cordially ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“no ” said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7911196e-05]', '“not at all ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00042993]', 'my name is ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “but mr ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? introduced you as ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.9401312e-05]', 'surely he did ” insisted mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? who in the excitement of talking french was liable to have no idea what she was saying ? ? ? ? ? ? ?')
('[0.18742159]', '? a fool ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '“oh it was a ? then ” mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '“yes ” said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8566847e-05]', '“to laugh at ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “did you hear that henry ” mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? called down the table to ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? introduced his ? as ? ? and her name is actually ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “of course darling ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? known her for a very long time ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “oh ? ? ” ? ? called speaking french very rapidly and not seeming so proud and astonished as mrs ? ? ? ?')
('[0.18742159]', '? at its coming out really french ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.3514031]', '“have you been in paris long do you like it here you love paris do you not ” ? she ” ? turned to me')
('[1.7762184e-05]', '” she turned to ? sitting smiling her hands folded her head poised on her long neck her lips pursed ready to start talking again')
('[1.7821789e-05]', '“no i ? like paris ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? expensive and dirty ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “really i find it so ? clean ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.260374e-05]', 'one of the ? cities in all europe ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i find it dirty ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “how strange but perhaps you have not been here very long ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? been here long enough ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “but it does have nice people in it ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.260374e-05]', 'one must grant that ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? turned to me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you have nice friends ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00152546]', 'kept it up but the coffee came and ? with the ? and after that we all went out and started for ? dancing club')
('[0.00783637]', 'the dancing club was a ? ? in the ? de la ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99902296]', 'five nights a week the working people of the ? quarter danced there ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.260374e-05]', 'one night a week it was the dancing club ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00032681]', 'on monday nights it was closed ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.622097]', 'was quite empty except for a ? sitting near the door the wife of the ? back of the zinc bar and the ? himself')
('[0.00783637]', 'the daughter of the house came downstairs as we went in ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there were long benches and tables ran across the room and at the far end a dancing floor ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i wish people would come earlier ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the daughter came up and wanted to know what we would drink ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the ? got up on a high stool beside the dancing floor and began to play the accordion ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he had a string of bells around one of his ? and beat time with his foot as he played ? ? ? ? ?')
('[0.9826906]', 'every one danced ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was hot and we came off the floor ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“my god ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“what a box to sweat in ” ? hot ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? my god ” “take off your hat ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? a good idea ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” some one asked ? to dance and i went over to the bar ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was really very hot and the accordion music was pleasant in the hot night ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i drank a beer standing in the doorway and getting the cool breath of wind from the street ? ? ? ? ? ? ?')
('[5.4717064e-05]', 'two ? were coming down the steep street ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.681681e-05]', 'they both stopped in front of the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9962807]', 'a crowd of young men some in ? and some in their shirt sleeves got out ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i could see their hands and ? washed ? hair in the light from the door ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the ? standing by the door looked at me and smiled ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.681681e-05]', 'they came in ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9806812]', 'as they went in under the light i saw white hands ? hair white faces ? ? talking ? ? ? ? ? ? ?')
('[0.73236835]', 'with them was ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she looked very lovely and she was very much with them ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.260374e-05]', 'one of them saw ? and said “i do ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there is an actual ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? going to dance with her ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you watch me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the tall dark one called ? said ? you be rash ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the ? blond one answered ? you worry dear ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” and with them was ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i was very angry ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9952748]', 'somehow they always made me angry ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8818846e-05]', 'supposed to be amusing and you should be tolerant but i wanted to swing on one any one anything to shatter that superior ? ?')
('[0.00012559]', 'instead i walked down the street and had a beer at the bar at the next ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the beer was not good and i had a worse ? to take the taste out of my mouth ? ? ? ? ? ?')
('[0.99957013]', 'and ? was dancing with the tall blond youth who danced big ? carrying his head on one side his eyes lifted as he danced')
('[0.9806812]', 'as soon as the music stopped another one of them asked her to dance ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she had been taken up by them ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i knew then that they would all dance with her ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.681681e-05]', 'they are like that ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i sat down at a table ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? was sitting there ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? was dancing ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', 'mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? brought up somebody and introduced him as ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was from new york by way of chicago and was a rising new novelist ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he had some sort of an english ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i asked him to have a drink ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? so much ” he said ? just had one ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “have another ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? i will then ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we got the daughter of the house over and each had a fine ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? from kansas city they tell me ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '“yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “do you find paris amusing ” “yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “really ” i was a little drunk ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[7.545948e-05]', 'not drunk in any positive sense but just enough to be careless ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.528595e-05]', '“for ? sake ” i said “yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? you ” “oh how ? you get angry ” he said ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i wish i had that faculty ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i got up and walked over toward the dancing floor ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', 'mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? followed me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? be cross with ? ” she said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? still only a child you know ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i ? cross ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i just thought perhaps i was going to throw up ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “your ? is having a great success ” mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? looked out on the floor where ? was dancing in the arms of the tall dark one called ? ? ? ? ? ?')
('[0.18742159]', '? she ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ” said mrs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? came up ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7881393e-05]', '“come on ? ” he said “have a drink ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we walked over to the bar ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? the matter with you you seem all worked up over something ” ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.943941e-05]', 'this whole show makes me sick is all ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? came up to the bar ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? you ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? ? ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.898408e-05]', '“why ? you tight ” “never going to get tight any more ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i say give a chap a brandy and ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” she stood holding the glass and i saw ? ? looking at her ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he looked a great deal as his ? must have looked when he saw the promised land ? ? ? ? ? ? ? ?')
('[0.18742159]', '? of course was much younger ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[4.1157007e-05]', 'but he had that look of eager ? expectation ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? was damned good looking ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she wore a ? jersey ? and a ? skirt and her hair was brushed back like a ? ? ? ? ? ? ?')
('[0.00170535]', 'she started all that ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she was built with curves like the ? of a racing yacht and you missed none of it with that ? jersey ? ? ?')
('[0.18742159]', '? a fine crowd ? with ? ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? they lovely and you my dear ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99458444]', 'where did you get it ” ? the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “and have you had a lovely evening ” “oh ? ” i said ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? laughed ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? wrong of you ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? an insult to all of us ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00124559]', 'look at ? there and ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” this for ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? in ? of trade ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she laughed again ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
